order_id,product_id,quantity,unit_price,discount
11363,1303,1,982.37,0.15
8707,1903,2,236.47,0.2
18104,1444,1,584.52,0.2
1002,518,1,408.13,0.0
19418,677,4,689.42,0.05
18449,610,3,1335.18,0.1
7267,308,2,1218.55,0.0
16170,1715,5,1973.34,0.1
2918,698,1,337.9,0.15
13486,1786,1,1586.5,0.15
11902,1167,4,463.39,0.05
2787,1353,2,295.91,0.15
9002,412,5,1907.04,0.15
6065,1984,1,88.73,0.2
16137,778,3,92.86,0.0
6372,1239,2,337.99,0.05
15321,1418,2,1738.29,0.15
12261,1607,1,246.0,0.1
4805,195,3,1194.27,0.1
9399,902,5,291.99,0.0
13952,1979,5,1539.9,0.2
13159,1397,3,982.44,0.1
4826,81,5,1967.79,0.15
5846,76,4,1858.39,0.15
14206,1178,3,1398.41,0.05
2377,914,1,502.73,0.0
1706,193,5,302.65,0.2
18540,1861,3,1391.94,0.15
11326,923,5,1823.47,0.15
5321,130,5,1192.93,0.0
17341,224,4,266.37,0.05
12873,77,2,1244.21,0.0
18793,1474,4,1518.2,0.05
17988,866,5,1776.42,0.15
1640,1911,3,56.79,0.1
123,1478,5,1030.55,0.2
19249,1964,4,1396.54,0.1
14775,1802,1,473.07,0.15
3828,1844,5,983.27,0.1
3166,776,5,337.93,0.2
13703,360,1,926.18,0.1
6963,1309,4,1469.93,0.2
16895,1619,1,364.1,0.1
17377,193,3,302.65,0.0
629,1104,5,1572.39,0.05
12731,1542,3,577.2,0.05
11862,913,3,62.75,0.15
19559,74,4,1341.1,0.2
5595,407,5,1588.83,0.1
9828,1472,5,669.91,0.0
8393,1087,4,1645.13,0.05
8934,24,3,920.41,0.15
2203,953,5,1523.58,0.2
11184,932,3,304.11,0.05
19309,1794,3,1109.8,0.15
6552,588,2,540.58,0.0
12089,368,1,1416.71,0.2
6112,746,5,1446.25,0.0
4312,1990,5,1012.52,0.2
4607,679,1,139.01,0.15
5499,1096,1,1703.52,0.15
14918,1498,2,136.79,0.15
12321,1612,4,271.07,0.1
2309,1680,1,382.18,0.0
2365,275,5,1741.44,0.05
8676,557,5,48.43,0.05
2031,1354,4,1372.29,0.05
2184,1944,1,956.85,0.2
7122,1422,4,997.77,0.0
17469,1256,1,826.41,0.1
6802,1015,4,1634.09,0.2
18885,1441,5,1990.07,0.1
2128,1250,4,965.9,0.1
4994,1106,3,928.38,0.1
10854,591,1,609.86,0.15
8981,1430,5,836.83,0.15
15346,893,5,642.9,0.2
15401,1208,5,1007.44,0.0
6963,303,2,906.75,0.2
9789,1146,1,1183.24,0.2
10651,1785,1,1248.35,0.0
313,203,3,1376.33,0.2
12705,1222,2,1126.47,0.1
8774,171,5,1763.85,0.2
18723,430,2,894.6,0.0
19649,1142,5,901.16,0.2
8097,874,3,113.74,0.2
10732,647,2,541.49,0.05
12316,863,2,1517.7,0.15
8501,1941,2,426.08,0.15
14845,1735,1,1506.49,0.1
14940,1424,5,954.05,0.2
18684,473,4,1976.11,0.0
6389,1734,5,1534.05,0.15
4597,1781,4,248.77,0.05
4058,955,5,870.25,0.2
5485,1239,2,337.99,0.0
8827,632,5,1909.94,0.15
19852,639,4,724.6,0.15
19663,1350,2,733.71,0.05
10815,1514,4,6.68,0.05
